numeroDeSerie,nombre,descripcion,color,idGimnasio
TCP-1,Rickshaw Carry,https://www.bodybuilding.com/exercises/rickshaw-carry,verde,1
TCP-2,Single-Leg Press,https://www.bodybuilding.com/exercises/single-leg-press,verde,1
TCP-3,Landmine twist,https://www.bodybuilding.com/exercises/landmine-180s,verde,1
TCP-4,Weighted pull-up,https://www.bodybuilding.com/exercises/weighted-pull-ups,verde,1
TCP-5,T-Bar Row with Handle,https://www.bodybuilding.com/exercises/t-bar-row-with-handle,rojo,1
TCP-6,Palms-down wrist curl over bench,https://www.bodybuilding.com/exercises/palms-down-wrist-curl-over-a-bench,rojo,1
TCP-7,Atlas Stones,https://www.bodybuilding.com/exercises/atlas-stones,rojo,1
TCP-8,Dumbbell front raise to lateral raise,https://www.bodybuilding.com/exercises/side-laterals-to-front-raise-,rojo,1
TCP-9,Clean from Blocks,https://www.bodybuilding.com/exercises/clean-from-blocks,rojo,1
TCP-10,Incline Hammer Curls,https://www.bodybuilding.com/exercises/incline-hammer-curls,rojo,1
TCP-11,Straight-bar wrist roll-up,https://www.bodybuilding.com/exercises/wrist-rotations-with-straight-bar,verde,1
TCP-12,Barbell glute bridge,https://www.bodybuilding.com/exercises/barbell-glute-bridge,verde,1
TCP-13,Clean and press,https://www.bodybuilding.com/exercises/clean-and-press,verde,1
TCP-14,Triceps dip,https://www.bodybuilding.com/exercises/dips-triceps-version,verde,1
TCP-15,Dumbbell farmer's walk,https://www.bodybuilding.com/exercises/farmers-walk,rojo,1
TCP-16,Palms-up wrist curl over bench,https://www.bodybuilding.com/exercises/palms-up-barbell-wrist-curl-over-a-bench,rojo,1
TCP-17,Barbell Full Squat,https://www.bodybuilding.com/exercises/barbell-full-squat,rojo,1
TCP-18,Barbell deficit deadlift,https://www.bodybuilding.com/exercises/deficit-deadlift,rojo,1
TCP-19,Barbell Deadlift,https://www.bodybuilding.com/exercises/barbell-deadlift,rojo,1
TCP-20,Single-arm palm-in dumbbell shoulder press,https://www.bodybuilding.com/exercises/standing-palm-in-one-arm-dumbbell-press,rojo,1
